location,BHK,total_sqft,bath,price
Wadgaon Sheri,2,1060,2,58.06
Vishrant Wadi,2,1000,2,70
Wagholi,2,1000,2,28.88
Wakadewadi,3,1450,2,70
Warje,2,1296,2,80
Yerawada,3,1540,3,90
Ambegaon Budruk,3,1330,2,48
Anandnagar,2,1200,2,65
Aundh,3,1200,3,90
Aundh Road,3,2502,3,138
Balaji Nagar,2,650,1,17
Baner,3,2400,2,150
Baner road,2,1007,2,43
Bhandarkar Road,2,1200,2,50
Bhavani Peth,2,966,2,49.9
Bibvewadi,3,1630,2,98
Budhwar Peth,2,782,2,55.68
Bund Garden Road,2,1260,2,66.78
Camp,3,1800,3,120
Chandan Nagar,3,1413,2,75
Dapodi,2,1116,2,51.91
Deccan Gymkhana,3,1530,2,45.9
Dhankawadi,3,2497,3,140
Dhayari Phata,3,1540,2,64
Dhole Patil Road,3,1436,3,74.75
Erandwane,2,1100,2,75
Fatima Nagar,2,276,3,23
Fergusson College Road,3,1427,3,120
Ganesh Peth,3,2061,3,200
Ghorpadi,3,1282,2,68.52
Gokhale Nagar,2,1050,2,34
Gultekdi,3,1600,3,65
Guruwar peth,2,945,2,54
Hadapsar,2,1500,2,78
Hingne Khurd,3,1870,3,110
Jangali Maharaj Road,3,1600,3,75
Kalyani Nagar,2,880,1,16.5
Karve Road,3,1535,3,83
Kasba Peth,2,950,2,57
Katraj,2,1360,2,65
Khadaki,2,1073.5,2,54.005
Khadki,3,1280,3,50.4
Kharadi,3,1260,2,85.05
Kondhwa Khurd,3,1563.05,3,105
Koregaon Park,2,1000,2,60
Kothrud,2,1167,2,43.76
Laxmi Road,3,1828,3,110
Lulla Nagar,2,890,2,35
Mahatma Gandhi Road,3,1612,3,46.74
Manik Bagh,3,1710,4,91.31
Market yard,2,957,2,58
Model colony,3,1250,2,44
Mundhawa,2,1125,2,50
Nagar Road,2,1020,2,30.6
Nana Peth,2,1200,2,50
Narayan Peth,3,1735,3,135
Narayangaon,3,2050,3,145
Padmavati,3,1350,2,48
Parvati Darshan,2,1063,2,32
Pashan,3,1904,3,150
Pirangut,3,2000,3,175
Prabhat Road,2,1242.5,2,43.49
Pune Railway Station,3,1425,2,75
Rasta Peth,3,1500,2,64.5
Raviwar Peth,2,1060,2,60
Sadashiv Peth,3,1470,2,70
Sahakar Nagar,6,1300,6,99
Salunke Vihar,1,450,1,11
Sasson Road,2,1152,2,64.5
Satara Road,3,1350,2,56
Senapati Bapat Road,3,1550,3,65
Shaniwar Peth,3,1500,3,100
Shukrawar Peth,1,400,1,14
Sinhagad Road,1,705,1,67
Somwar Peth,2,770,1,36
Swargate,2,1242,2,51
Tilak Road,3,1700,3,155
Uruli Devachi,3,2144,3,145
Vadgaon Budruk,3,1704,3,110
Wadgaon Sheri,2,1070,2,52
Vishrant Wadi,2,1340,2,55.7
Wagholi,2,1025,2,46
Wakadewadi,2,1277.5,2,56.8
Wanowrie,2,1200,2,52
Warje,4,2250,4,110
Yerawada,3,1550,2,80
Anandnagar,2,1200,2,60
Aundh,2,1327,2,98
Aundh Road,2,1186,2,58
Balaji Nagar,3,1783,3,115
Baner,3,1400,3,56
Baner road,2,980,2,48
Bhandarkar Road,2,1285,2,82
Bhavani Peth,3,912,2,70
Bibvewadi,2,1225,2,47.6
Bopodi,2,1075,2,53
Budhwar Peth,3,1260,2,54
Bund Garden Road,3,1282,2,48.7
Camp,3,1909,3,88
Chandan Nagar,2,1359,2,87
Dapodi,2,1207,2,43.5
Deccan Gymkhana,4,1736,6,190
Dhankawadi,3,1595,3,65
Dhayari Phata,3,1798,3,89
Dhole Patil Road,3,1475,3,78.29
Erandwane,3,1580,3,100
Fatima Nagar,2,1295,2,65
Ganesh Peth,1,589,1,27
Ganeshkhind,3,1415,3,78
Ghorpade Peth,3,1787,3,98.29
Ghorpadi,3,1787,3,125
Gokhale Nagar,3,1475,2,90
Gultekdi,4,2000,4,75.5
Guruwar peth,2,984,2,44.28
Hadapsar,3,1630,2,74.82
Hadapsar Industrial Estate,3,2405,4,260
Hingne Khurd,2,1080,2,72
Jangali Maharaj Road,2,1500,2,115
Kalyani Nagar,3,1900,3,119
Karve Nagar,2,805,2,22.14
Karve Road,2,1153,2,56.4
Kasba Peth,2,1148,2,60
Katraj,2,1110,2,55
Khadaki,2,1100,2,42
Khadki,2,1290,2,110
Kharadi,3,1500,2,65
Kondhwa,2,1080,2,39
Kondhwa Budruk,3,1933,3,129
Koregaon Park,2,1060,2,60
Kothrud,1,645,1,16.45
Laxmi Road,1,645,1,16.45
Lulla Nagar,3,1644,3,84
Mahatma Gandhi Road,2,1285,2,72.5
Mangalwar peth,3,1200,3,90
Manik Bagh,2,910,2,40
Market yard,3,1577,3,70
Mukund Nagar,3,2420,3,185
Mundhawa,2,800,1,20
Nagar Road,2,1060,2,55
Nana Peth,2,1270,2,93
Narayan Peth,2,900,2,22.5
Narayangaon,2,1280,2,69
Navi Peth,4,1200,2,95
Padmavati,2,1025,2,36
Parvati Darshan,2,1108,2,63
Prabhat Road,3,1500,3,75.5
Pune Railway Station,2,1295,2,43.9
Rasta Peth,2,1162,2,59.9
Raviwar Peth,2,1035,2,49.2
Sadashiv Peth,4,1600,4,52.8
Sahakar Nagar,3,1464,3,46
Salunke Vihar,3,1866,2,61.58
Sasson Road,2,700,1,26
Satara Road,3,1804,3,120
Senapati Bapat Road,2,913,2,32
Shaniwar Peth,3,1868,3,131
Shivaji Nagar,2,883,2,45
Sinhagad Road,3,1664,2,73.95
Somwar Peth,3,2026,3,132
Swargate,2,1210,2,80.9
Uruli Devachi,3,1762,3,91.45
Vadgaon Budruk,3,1252,3,55
Wadgaon Sheri,2,861,2,34.5
Viman Nagar,3,1420,2,100
Wagholi,3,1490,3,78.8
Wakadewadi,3,1075,2,46
Wanowrie,3,1425,2,94
Warje,2,1200,2,40
Yerawada,3,1280,2,56
Alandi Road,2,1084,2,50
Ambegaon Budruk,2,1015,2,25.88
Anandnagar,2,1017,2,51.25
Aundh,2,1027,2,44
Aundh Road,2,1069,2,45
Balaji Nagar,2,1349,2,98.2
Baner,2,1005,2,50
Baner road,2,1417,2,75
Bhandarkar Road,3,1475,3,98
Bhavani Peth,2,950,2,47
Bibvewadi,4,2000,4,120
Budhwar Peth,4,1863,3,104
Bund Garden Road,2,1010,2,29.5
Camp,3,1425,2,70
Chandan Nagar,3,1450,3,100
Dapodi,3,1847,3,105
Deccan Gymkhana,2,1100,2,45
Dehu Road,1,525,1,26
Dhankawadi,3,1665,3,95
Dhayari Phata,4,1664,4,65
Dhole Patil Road,3,1850,3,150
Erandwane,2,1438,2,100
Fatima Nagar,3,1560,3,115
Fergusson College Road,2,1350,2,55.55
Ganesh Peth,3,1550,3,67
Ganeshkhind,2,1140,2,46.5
Ghorpadi,2,850,2,27
Gokhale Nagar,2,1280,2,75
Gultekdi,2,1170,2,52
Guruwar peth,2,1113,2,51
Hadapsar,2,1385,2,83.09
Hadapsar Industrial Estate,2,1128,2,65
Hingne Khurd,2,1200,2,128
Karve Road,3,1464,3,56
Kasba Peth,2,1200,2,55
Katraj,2,1200,2,52
Khadaki,3,1150,2,55
Khadki,3,1645,3,95
Kharadi,2,1000,2,67
Kondhwa Budruk,2,1192,2,74
Kondhwa Khurd,3,2135,3,215
Koregaon Park,2,1173,2,58
Kothrud,2,1020,2,45
Laxmi Road,3,1600,3,64
Lulla Nagar,2,1200,2,79
Mahatma Gandhi Road,2,1230,2,48
Mangalwar peth,2,1250,2,40
Manik Bagh,2,1325,2,76
Market yard,3,1850,3,150
Model colony,1,525,2,21.53
Mukund Nagar,2,1200,2,65
Mundhawa,3,1350,2,140
Nagar Road,3,1260,3,49.36
Nana Peth,3,1800,3,150
Narayangaon,2,1100,2,43.25
Navi Peth,2,1508,2,77
Padmavati,3,1592,3,75
Parvati Darshan,2,1388,2,57
Pashan,1,630,1,28.35
Pirangut,3,1762,3,125
Prabhat Road,2,950,2,50
Rasta Peth,2,1116,2,50
Raviwar Peth,2,1308,2,89.04
Sadashiv Peth,3,1200,3,90
Salunke Vihar,1,500,1,18.5
Sasson Road,2,1075,2,52
Satara Road,1,530,1,11.66
Senapati Bapat Road,2,1205,2,66
Shaniwar Peth,2,1075,2,60
Shivaji Nagar,2,930,2,39
Shukrawar Peth,2,1380,2,60
Sinhagad Road,4,2483,5,212
Somwar Peth,2,1166,2,55
Swargate,2,1050,2,65
Uruli Devachi,2,1200,2,46.8
Vadgaon Budruk,3,1600,2,108
Wadgaon Sheri,3,1935,3,110
Viman Nagar,1,451,1,29.9
Vishrant Wadi,3,1800,3,95
Wagholi,3,1400,3,77
Wakadewadi,3,1801,3,115
Wanowrie,2,1451,2,90
Warje,2,1200,1,36
Yerawada,2,1160,2,44
Alandi Road,2,1000,2,25
Ambegaon Budruk,2,950,2,40
Anandnagar,3,1629,3,79
Aundh,3,1580,2,134
Aundh Road,3,1826,3,121
Balaji Nagar,2,1245,2,94
Baner,2,1145,2,45.79
Baner road,2,825,2,33
Bhandarkar Road,3,1693,3,108
Bhavani Peth,2,1113.27,2,53
Bibvewadi,2,1460,2,58
Bopodi,2,1050,2,32
Budhwar Peth,2,1260,2,55
Camp,2,1656,2,120
Chandan Nagar,3,1208,3,45
Dapodi,3,1910,3,161
Dehu Road,2,1200,2,65
Dhayari Phata,2,1175,2,82
Erandwane,4,1200,2,125
Ganeshkhind,1,1276,1,18.5
Ghorpade Peth,2,1185,2,38
Ghorpadi,2,750,2,38
Gultekdi,3,1550,3,64.5
Guruwar peth,3,1760,3,88
Hadapsar,2,1125,2,62
Hingne Khurd,2,1000,2,55
Jangali Maharaj Road,2,1090,2,31.48
Kalyani Nagar,2,1200,2,60
Karve Nagar,3,1991,4,103
Karve Road,2,1060,2,26.5
Kasba Peth,2,1105,2,75
Katraj,2,985,2,67
Khadaki,6,1533,5,85
Khadki,3,1590,3,79
Kharadi,2,1120,2,55
Kondhwa,2,1069,2,55
Kondhwa Budruk,3,1933,3,140
Kondhwa Khurd,2,1194,2,69
Koregaon Park,2,1150,2,69
Kothrud,2,1240,2,47.12
Law College Road,2,1419,2,48.1
Mahatma Gandhi Road,3,1450,3,55
Mangalwar peth,3,1630,3,68.29
Manik Bagh,2,708,1,40
Market yard,3,1000,4,110
Mukund Nagar,2,1250,2,76
Mundhawa,3,1400,2,95
Nagar Road,3,1670,2,57
Nana Peth,3,1750,3,100
Narayan Peth,2,1404,2,71
Narayangaon,3,1715,2,95
Navi Peth,1,630,1,34.65
Padmavati,3,1752.12,3,135
Parvati Darshan,3,1650,3,78
Pashan,2,1295,2,55.47
Pirangut,2,1346,2,74.03
Pune Railway Station,2,1150,2,55
Raviwar Peth,3,1190,2,30.35
Sadashiv Peth,3,1620,3,98
Sahakar Nagar,2,950,2,46.96
Sasson Road,3,2450,3,120
Satara Road,3,1220,2,35.23
Senapati Bapat Road,2,850,2,30
Shaniwar Peth,2,1020,2,63
Shivaji Nagar,2,1100,2,50
Shukrawar Peth,2,1150,2,126
Sinhagad Road,3,1760,2,130
Somwar Peth,3,1800,3,110
Swargate,2,1070,2,54
Uruli Devachi,2,1440,2,95
Vadgaon Budruk,2,900,2,40
Viman Nagar,2,1130,2,42.16
Wagholi,2,1270,2,98
Wakadewadi,2,1200,2,62
Warje,2,1200,2,74
Yerawada,2,929,2,50.17
Aundh Road,3,1464,3,56
Baner,4,2000,4,99
Baner road,2,1208,2,49
Bhandarkar Road,2,1130,2,60
Bhavani Peth,3,1753,3,120
Bopodi,3,600,3,58
Budhwar Peth,2,1196,2,94.42
Bund Garden Road,2,1150,3,52.5
Camp,2,1128,2,63
Chandan Nagar,2,1000,2,53
Dapodi,2,1035,2,45
Deccan Gymkhana,2,950,2,32
Dehu Road,3,1075,2,36
Dhankawadi,2,1040,2,48.5
Dhayari Phata,2,720,2,45
Dhole Patil Road,3,1511,3,95
Erandwane,3,1300,3,58
Fatima Nagar,3,1545,3,68.75
Fergusson College Road,1,375,2,26
Ganesh Peth,2,1062,2,38
Ganeshkhind,2,1115,2,40
Ghorpade Peth,2,1000,2,35
Ghorpadi,2,883,2,45
Gokhale Nagar,2,1195,2,70
Guruwar peth,1,700,1,41
Hadapsar,2,1246,2,67
Jangali Maharaj Road,4,1600,4,80
Karve Nagar,3,1584,3,65
Kasba Peth,3,1175,2,48
Katraj,3,1595,3,115
Khadaki,2,1353,2,110
Khadki,3,1599,3,125
Kharadi,2,1150,2,70
Kondhwa Budruk,2,1155,2,42.74
Kondhwa Khurd,1,1200,2,85
Koregaon Park,2,1000,2,25
Law College Road,3,1867,3,160
Laxmi Road,2,1251,2,47
Lulla Nagar,2,1028,2,45.5
Mahatma Gandhi Road,2,1222,2,45
Mangalwar peth,3,1170,2,66
Manik Bagh,3,2400,4,245
Market yard,3,1385,2,48.48
Model colony,2,1372,2,68
Mukund Nagar,3,1282,2,49
Nana Peth,2,1135,2,39.73
Narayan Peth,3,1768,3,101
Narayangaon,3,1325,2,90
Navi Peth,3,1599,3,99
Padmavati,3,1500,3,61.95
Pashan,2,1286,2,63
Pirangut,3,1600,2,50
Prabhat Road,2,1317.5,2,63.77
Rasta Peth,2,1102,2,53.67
Raviwar Peth,2,1350,2,54
Sadashiv Peth,3,1200,2,42
Salunke Vihar,2,1800,1,80
Sasson Road,2,950,2,40
Satara Road,1,525,1,27.25
Senapati Bapat Road,2,656,2,25
Shaniwar Peth,4,1780,4,175
Shivaji Nagar,2,1056,2,80
Shukrawar Peth,1,595,1,33.32
Sinhagad Road,2,1080,2,50
Somwar Peth,3,2225,3,160
Swargate,2,1126,2,28.15
Tilak Road,3,1490,3,84
Vadgaon Budruk,3,1550,3,100
Wadgaon Sheri,3,1600,3,86
Viman Nagar,2,1160,2,55
Wagholi,3,2100,3,125
Wakadewadi,2,1404,2,69.3
Wanowrie,4,2230,4,225
Warje,3,1544,3,120
Yerawada,3,1305,2,58.7
Alandi Road,2,1230,2,80
Ambegaon Budruk,2,1200,2,65
Anandnagar,3,1460,3,73
Aundh,2,1800,2,34.185
Aundh Road,2,967,2,45
Balaji Nagar,1,540,1,36
Baner,1,715,1,46
Bhavani Peth,2,1020,2,48.95
Bibvewadi,2,1020,2,40
Bopodi,2,1253,2,102
Budhwar Peth,2,1180,2,42
Bund Garden Road,2,961,2,38
Camp,3,1419,3,75
Chandan Nagar,3,1709,3,150
Dapodi,2,1600,2,115
Deccan Gymkhana,1,416,1,18.5
Dehu Road,2,1100,2,98
Dhankawadi,3,1430,2,65
Dhayari Phata,2,1260,2,45
Dhole Patil Road,3,1630,3,85
Erandwane,3,1249,3,44.71
Fatima Nagar,3,1450,2,85
Ganeshkhind,1,834,1,60
Ghorpade Peth,3,1125,4,70
Ghorpadi,3,2060,3,140
Gultekdi,2,891,2,25
Guruwar peth,2,1133,2,49.07
Hadapsar,3,1075,2,37
Jangali Maharaj Road,2,1200,2,55
Kalyani Nagar,2,1075,2,45.8
Karve Nagar,2,1140,2,40
Katraj,2,1090,2,42
Khadaki,4,1500,4,70
Kharadi,3,1790,3,100
Kondhwa,3,1920,3,134
Kondhwa Budruk,2,1374,2,95
Kondhwa Khurd,3,1445,3,95
Koregaon Park,1,711,1,36
Kothrud,3,1500,3,95
Law College Road,3,1720,3,100
Laxmi Road,3,1400,3,60
Lulla Nagar,2,1030,2,49
Mahatma Gandhi Road,2,1200,2,85
Mangalwar peth,3,1375,3,70
Manik Bagh,2,1050,1,56
Market yard,3,2250,3,160
Model colony,2,1000,2,50
Mukund Nagar,1,469,1,25
Nagar Road,2,883,2,29
Nana Peth,3,1820,2,86
Narayan Peth,3,1440,2,65
Padmavati,2,1225,2,48
Pashan,2,875,2,52.8
Paud Road,1,750,1,40
Pirangut,2,1180,2,80
Prabhat Road,2,1194,2,47
Pune Railway Station,3,1500,2,62
Rasta Peth,2,1160,2,52.2
Sadashiv Peth,3,2378,3,262
Sahakar Nagar,2,1128,2,60
Salunke Vihar,3,1500,3,150
Sasson Road,3,1220,2,35.23
Satara Road,2,1210,2,58
Senapati Bapat Road,3,1100,2,58
Shaniwar Peth,3,1200,3,46
Shukrawar Peth,3,1641,3,66
Sinhagad Road,2,1200,2,45
Somwar Peth,2,1260,2,67.39
Swargate,3,1720,3,78
Tilak Road,2,1132.5,2,48.13
Uruli Devachi,2,1210,2,45.98
Vadgaon Budruk,4,2200,4,200
Wadgaon Sheri,3,1075,2,45
Viman Nagar,3,1702,3,130
Wagholi,2,1141,2,38.55
Wakadewadi,3,2072,3,108
Warje,3,1200,2,70
Yerawada,3,1350,3,77
Ambegaon Budruk,3,1180,2,78.34
Aundh,2,1355,2,115
Aundh Road,1,600,1,50
Baner,3,1640,2,120
Baner road,5,1200,5,100
Bhandarkar Road,3,1190,2,57
Bibvewadi,2,1019,2,49.85
Bopodi,3,1875,3,165
Budhwar Peth,3,1250,3,40
Camp,2,1140,2,56
Chandan Nagar,3,1683,3,109
Dapodi,3,1515,3,83.3
Deccan Gymkhana,4,2118,4,111
Dehu Road,4,1380,3,58
Dhankawadi,2,1083,2,61.75
Dhayari Phata,2,600,2,55
Dhole Patil Road,3,2300,3,120
Erandwane,2,1240,2,60
Fatima Nagar,3,1750,3,120
Fergusson College Road,2,1230,2,43.48
Ganesh Peth,3,1500,3,139
Ganeshkhind,2,985,2,40.39
Ghorpade Peth,3,1500,2,87
Ghorpadi,2,1125,2,32.49
Gokhale Nagar,2,950,2,44
Guruwar peth,3,1580,3,76
Hadapsar,3,1092,2,98.5
Hadapsar Industrial Estate,2,1090,2,28.34
Hingne Khurd,3,2264,3,159
Jangali Maharaj Road,3,1033,2,25.53
Kalyani Nagar,2,810,2,24.5
Karve Nagar,2,1045,2,45
Karve Road,2,1337,2,82
Kasba Peth,2,1200,2,32
Katraj,3,1580,3,160
Khadaki,3,1500,2,54
Khadki,3,1640,4,91
Kharadi,3,1570,3,62
Kondhwa,3,1470,2,82
Kondhwa Budruk,2,1160,2,40.61
Kondhwa Khurd,2,1050,2,71
Kothrud,3,1460,2,90
Law College Road,3,1823,3,100
Laxmi Road,2,1094,2,42
Lulla Nagar,2,1153,2,57
Mahatma Gandhi Road,3,1325,3,57
Mangalwar peth,4,1200,3,85
Manik Bagh,3,1590,2,125
Mukund Nagar,2,1202,2,48
Mundhawa,2,1202,2,53
Nagar Road,2,1200,2,62.5
Nana Peth,3,1688,3,118
Narayan Peth,2,1020,2,52
Narayangaon,2,1185,2,47
Navi Peth,2,1235,2,52.04
Parvati Darshan,2,1077,2,37.64
Pashan,3,1415,2,66
Paud Road,3,2330,3,162
Pirangut,2,805,2,35
Prabhat Road,1,425,1,20.03
Pune Railway Station,2,1155,2,59.95
Raviwar Peth,2,656,2,22
Sadashiv Peth,2,1100,2,48
Sahakar Nagar,2,1150,2,52
Salunke Vihar,1,600,1,60
Sasson Road,2,1468,2,140
Senapati Bapat Road,3,2280,4,126
Shaniwar Peth,2,1341,2,97
Shivaji Nagar,2,1279,2,77
Shukrawar Peth,4,2225,4,98.88
Sinhagad Road,2,1185,2,43.51
Somwar Peth,3,1750,3,85
Swargate,2,1152,2,53.5
Uruli Devachi,2,1300,2,36
Wadgaon Sheri,2,1070,2,39
Viman Nagar,2,1101,2,45
Vishrant Wadi,2,775,2,55
Wagholi,1,667,1,36.85
Wakadewadi,2,1070,2,55
Wanowrie,3,1875,2,110
Warje,2,735,2,57.99
Alandi Road,3,1750,3,130
Ambegaon Budruk,2,1215,2,67
Aundh,2,820,2,30
Aundh Road,2,1177.5,2,59.935
Balaji Nagar,3,1779,3,89.61
Baner,2,1105,2,58
Baner road,1,1276,2,93
Bhandarkar Road,3,1650,3,60
Bhavani Peth,2,1694,2,150
Bibvewadi,3,2376,3,203
Bopodi,3,1975,3,150
Budhwar Peth,2,674,2,33
Bund Garden Road,2,1185,2,41
Camp,1,445,1,28
Chandan Nagar,6,900,7,76
Dapodi,3,1475,3,75
Deccan Gymkhana,3,1618,3,82.5
Dehu Road,2,1120,2,65
Dhankawadi,4,2181,3,152
Dhayari Phata,4,1200,4,90
Dhole Patil Road,6,600,4,65
Erandwane,3,1556,2,59.13
Fatima Nagar,2,1179,2,66.02
Fergusson College Road,2,1296,2,83
Ganesh Peth,2,1275,2,52
Ghorpade Peth,3,1400,2,77
Ghorpadi,2,1222,2,63
Gokhale Nagar,2,940,2,41
Gultekdi,2,1185,2,42.6
Guruwar peth,3,1779,3,112
Hadapsar,3,1615,3,59.76
Hingne Khurd,2,1056,2,61
Jangali Maharaj Road,2,1100,2,46
Kalyani Nagar,2,920,2,40
Karve Nagar,3,1602,2,75
Karve Road,2,1176,2,62
Kasba Peth,4,675,3,59
Katraj,3,1352,3,135
Khadaki,3,1717,3,99
Kharadi,4,2119,4,111
Kondhwa,2,1246,2,67.3
Kondhwa Budruk,2,1141,2,42.79
Kondhwa Khurd,2,1157,2,84
Koregaon Park,2,1025,2,27.68
Kothrud,1,650,1,33
Law College Road,2,1349,2,98
Laxmi Road,3,1566,3,83.3
Mahatma Gandhi Road,3,1320,2,38.13
Mangalwar peth,3,1780,3,84.83
Manik Bagh,2,1091,2,34.9
Model colony,2,918,2,50.49
Mukund Nagar,4,1950,4,130
Mundhawa,3,1695,3,90
Nagar Road,3,1705,3,95
Nana Peth,3,1375,3,75
Narayan Peth,1,525,1,30
Narayangaon,2,1447,2,83
Navi Peth,2,1114,2,39
Padmavati,3,1450,2,100
Parvati Darshan,2,460,1,15
Pashan,2,1022,2,40
Paud Road,2,1000,2,45
Pirangut,2,1128,2,68.75
Prabhat Road,2,1180,2,57
Pune Railway Station,6,1000,6,69
Sadashiv Peth,2,1339,2,75
Sahakar Nagar,3,1400,2,55
Salunke Vihar,2,1040,2,39.52
Sasson Road,2,1198,2,58
Satara Road,4,1200,3,95
Senapati Bapat Road,3,1691,3,113
Shaniwar Peth,3,1075,3,36
Shukrawar Peth,3,1240,3,43.5
Sinhagad Road,2,1122.5,2,58.935
Somwar Peth,3,1665,3,86.58
Swargate,3,2489,3,94
Tilak Road,2,1142,2,70
Uruli Devachi,3,1976,3,184
Wadgaon Sheri,3,1853,3,82
Vishrant Wadi,2,1567,2,92
Wagholi,2,1090,2,27.24
Wakadewadi,6,1200,4,125
Warje,2,1175,2,51.47
Yerawada,2,1200,2,52
Alandi Road,2,995,2,41
Ambegaon Budruk,2,884,2,41.1
Anandnagar,5,900,3,80
Aundh,2,1170,2,57
Aundh Road,2,1225,2,46.55
Balaji Nagar,2,1342,2,73.3
Baner,2,1345,2,67
Baner road,3,1320,3,65
Bhandarkar Road,2,1276,2,45
Bhavani Peth,2,1140,2,49.39
Bibvewadi,2,1300,2,50
Bopodi,3,1652,3,85
Budhwar Peth,3,2072,4,142
Bund Garden Road,3,1740,2,95
Camp,3,1360,2,71
Chandan Nagar,3,1145,2,60
Dapodi,3,1540,2,40
Deccan Gymkhana,2,1278,2,95
Dehu Road,1,630,1,40
Dhankawadi,3,1100,3,58
Dhayari Phata,3,1200,3,95
Dhole Patil Road,7,2500,6,115
Erandwane,1,582.5,1,15.135
Fatima Nagar,2,1015,2,25.88
Ganeshkhind,3,1356,2,66
Ghorpade Peth,2,823,2,28
Ghorpadi,3,1200,2,66
Gokhale Nagar,2,1050,2,37
Gultekdi,2,1180,2,69
Guruwar peth,2,1116,2,51.91
Hadapsar,2,1070,2,42.79
Hadapsar Industrial Estate,2,1385,2,80
Hingne Khurd,1,1000,1,70
Jangali Maharaj Road,3,1897,3,130
Kalyani Nagar,2,1005,2,55.78
Karve Nagar,3,1575,3,125
Karve Road,2,975,2,65
Kasba Peth,3,1904,3,120
Katraj,1,930,1,30
Khadaki,1,525,1,26
Khadki,1,686,1,17
Kharadi,2,2400,3,150
Kondhwa Budruk,3,2238,3,140
Kondhwa Khurd,2,1174,2,69
Kothrud,3,2225,2,125
Laxmi Road,2,918,2,52
Lulla Nagar,2,1250,2,52
Mahatma Gandhi Road,3,1800,3,110
Mangalwar peth,2,1170,2,53
Market yard,2,793,2,45
Model colony,3,1710,3,107
Mukund Nagar,3,1082,2,57.5
Mundhawa,2,1001,2,33.03
Nana Peth,3,1590,2,54
Narayan Peth,3,2400,2,80
Narayangaon,3,1554,3,55
Navi Peth,2,1142.5,2,43.415
Parvati Darshan,2,884,1,58
Pashan,2,1045,2,98.89
Paud Road,2,1019,2,49.86
Pirangut,3,1935,4,130
Prabhat Road,3,1135,2,39.73
Pune Railway Station,3,1680,3,150
Rasta Peth,4,2470,5,247
Salunke Vihar,5,1800,4,187
Sasson Road,3,1799,3,90
Senapati Bapat Road,1,400,1,11
Shaniwar Peth,2,1047,2,82
Shivaji Nagar,2,1282,2,87
Shukrawar Peth,2,1020,2,45.9
Somwar Peth,2,1495,2,79.5
Tilak Road,3,1611,2,64.44
Vadgaon Budruk,3,1500,2,95
Wadgaon Sheri,3,1500,2,95
Vishrant Wadi,3,1540,3,50
Wagholi,3,1639,3,80
Wakadewadi,4,700,4,72
Wanowrie,2,1303,2,55.79
Warje,2,1005,1,110
Yerawada,1,657.5,1,18.41
Alandi Road,3,1305,3,33.28
Anandnagar,2,1300,1,115
Aundh,3,1440,2,68
Aundh Road,2,901,2,35.14
Baner,3,900,2,42
Baner road,2,1060,2,55
Bhandarkar Road,2,1020,2,48.45
Bhavani Peth,3,1535,3,65.99
Bibvewadi,1,530,1,20
Bopodi,3,1464,3,56
